,Date,Open,Hign,Low,Close,Volume
0,2023-09-17,19.12,19.14,18.63,18.81,1073239.72
1,2023-09-18,18.81,20.15,18.58,19.64,3731851.86
2,2023-09-19,19.65,20.42,19.58,20.03,3110481.29
3,2023-09-20,20.02,20.54,19.8,20.29,2588399.2
4,2023-09-21,20.29,20.29,19.29,19.46,2959370.24
5,2023-09-22,19.45,19.81,19.15,19.43,1857771.33
6,2023-09-23,19.42,19.57,19.29,19.49,897913.0
7,2023-09-24,19.48,19.68,19.2,19.36,1091026.97
8,2023-09-25,19.36,19.74,19.07,19.39,1702995.14
9,2023-09-26,19.39,19.53,18.84,19.03,1977195.6
10,2023-09-27,19.03,19.48,18.73,19.14,2446438.2
11,2023-09-28,19.13,19.98,19.1,19.96,2804835.46
12,2023-09-29,19.97,20.46,19.85,20.28,2724984.42
13,2023-09-30,20.28,21.81,20.07,21.37,3565357.52
14,2023-10-01,21.37,24.5,21.13,23.87,6416328.5
15,2023-10-02,23.88,24.8,22.9,23.37,6313085.51
16,2023-10-03,23.38,24.77,23.21,23.6,5894722.26
17,2023-10-04,23.61,23.86,22.58,23.13,3945261.33
18,2023-10-05,23.13,23.76,22.53,22.7,3287722.78
19,2023-10-06,22.7,23.76,22.66,23.41,4366362.12
20,2023-10-07,23.41,24.21,23.08,23.3,2949841.72
21,2023-10-08,23.29,23.64,23.06,23.22,1934466.13
22,2023-10-09,23.21,23.37,21.59,22.1,4186290.48
23,2023-10-10,22.09,22.48,21.69,22.11,2334716.24
24,2023-10-11,22.11,22.43,21.62,22.01,2734211.94
25,2023-10-12,22.01,22.05,20.93,21.28,2921129.02
26,2023-10-13,21.29,22.23,21.11,21.84,2403623.09
27,2023-10-14,21.85,22.31,21.8,22.0,1303774.54
28,2023-10-15,22.0,22.17,21.66,21.93,1455965.78
29,2023-10-16,21.93,24.75,21.89,23.95,6973642.82
30,2023-10-17,23.95,24.56,23.46,23.93,4456015.31
31,2023-10-18,23.94,24.43,23.36,23.42,2982409.96
32,2023-10-19,23.41,25.77,23.11,24.93,5889168.99
33,2023-10-20,24.92,27.5,24.73,27.03,7266627.01
34,2023-10-21,27.02,30.31,26.65,29.32,9576358.72
35,2023-10-22,29.33,30.01,28.09,29.05,5567480.03
36,2023-10-23,29.06,32.81,28.74,31.88,12178546.11
37,2023-10-24,31.88,32.61,29.5,30.17,11152278.09
38,2023-10-25,30.18,33.9,30.0,32.44,10582632.89
39,2023-10-26,32.43,33.28,30.73,32.77,6940180.71
40,2023-10-27,32.78,33.35,31.2,31.73,6273331.35
41,2023-10-28,31.73,32.51,31.35,31.63,2594478.41
42,2023-10-29,31.62,33.19,31.27,32.83,3483834.9
